-45,30,-32
-46,26,-30
-43,25,-20
-42,21,-20
-41,17,-22
-52,15,-26
-53,10,-25
-45,10,-25
-53,9,-32
-56,9,-34
-52,10,-36
-53,8,-40
-56,7,-42
-50,5,-43
-48,1,-51
-49,6,-32
-50,7,-30
-64,-4,-42
-64,-1,-36
-58,-2,-35
-57,-6,-38
-57,-6,-40
-54,-7,-38
-57,-8,-36
-47,-4,-23
-61,-4,-33
-49,-7,-30
-54,-8,-28
-49,-13,-21
-52,-10,-20
-53,-16,-29
-49,-18,-31
-54,-13,-21
-60,-13,-28
-53,-15,-28
-56,-13,-24
-60,-13,-26
-57,-17,-29
-53,-15,-27
-60,-14,-30
-63,-16,-32
-52,-16,-26
-52,-15,-27
-54,-17,-29
-58,-17,-29
-58,-18,-32
-58,-19,-32
-54,-18,-28
-52,-15,-19
-56,-16,-21
-60,-18,-26
-57,-16,-26
-63,-19,-21
-61,-14,-14
-55,-18,-25
-60,-19,-26
-57,-18,-22
-55,-17,-19
-54,-16,-20
-59,-16,-22
-61,-17,-23
-58,-19,-23
-57,-18,-22
-57,-18,-20
-56,-18,-21
-58,-18,-25
-60,-17,-22
-59,-18,-22
-56,-19,-23
-55,-18,-24
-54,-20,-24
-54,-19,-22
-58,-18,-24
-57,-19,-26
-57,-19,-26
-58,-18,-25
-59,-18,-26
-58,-19,-27
-57,-19,-25
-58,-18,-21
-59,-19,-24
-57,-19,-25
-57,-19,-25
-56,-19,-23
-56,-18,-23
-59,-19,-26
-60,-18,-27
-56,-19,-23
-58,-19,-23
-58,-20,-24
-56,-18,-21
-57,-18,-21
-60,-20,-23
-59,-20,-22
-57,-19,-19
-58,-18,-17
-57,-16,-18
-59,-17,-21
-60,-18,-18
-58,-16,-15
-62,-16,-20
-60,-20,-18
-59,-19,-17
-60,-20,-17
-61,-19,-16
-59,-19,-16
-59,-18,-17
-56,-19,-17
-56,-18,-15
-62,-19,-19
-58,-19,-19
-59,-20,-20
-59,-20,-19
-58,-20,-19
-59,-19,-20
-57,-18,-20
-55,-18,-19
-55,-20,-21
-58,-21,-25
-57,-20,-24
-53,-18,-22
-53,-21,-25
-54,-22,-29
-59,-22,-29
-58,-20,-29
-55,-20,-30
-54,-20,-28
-54,-18,-27
-56,-19,-28
-49,-19,-24
-53,-18,-27
-53,-21,-30
-53,-19,-28
-52,-19,-29
-55,-20,-33
-53,-19,-33
-56,-17,-43
-57,-14,-43
-55,-8,-43
-50,-9,-43
-52,-6,-48
-55,-5,-45
-47,-5,-51
-43,-5,-52
-39,-1,-47
-43,-6,-51
-43,-3,-48
-42,0,-30
-37,0,-31
-43,-11,-39
-45,-9,-33
-41,-9,-24
-36,-7,-25
-49,-7,-32
-70,-3,-24
-66,-1,-29
-67,2,-47
-60,3,-43
-25,13,-12
-25,20,-8
-55,51,-27
-40,67,-19
-10,83,24
-23,87,22
-56,106,-7
-65,85,-11
-55,62,-6
-41,36,-5
-34,28,0
-33,31,9
-34,30,5
-46,33,-4
-48,42,-2
-21,61,20
-16,74,8
-27,81,-14
-22,100,-12
